Date,Close
6/13/2016,87.14
6/14/2016,85.62
6/15/2016,86.22
6/16/2016,85.71
6/17/2016,87.37
6/20/2016,88.42
6/21/2016,87.76
6/22/2016,88.57
6/23/2016,89.14
6/24/2016,83.31
6/27/2016,88.49
6/28/2016,91.93
6/29/2016,93.21
6/30/2016,91.57
7/1/2016,93.78
7/5/2016,92.2
7/6/2016,92.93
7/7/2016,93.47
7/8/2016,94.83
7/11/2016,96.35
7/12/2016,97.1
7/13/2016,92.26
7/14/2016,91
7/15/2016,90.39
7/18/2016,90.66
7/19/2016,90.94
7/20/2016,93.94
7/21/2016,93.75
7/22/2016,94.68
7/25/2016,93.2
7/26/2016,93.17
7/27/2016,94.16
7/28/2016,94.32
7/29/2016,94.32
8/1/2016,96.11
8/2/2016,94.07
8/3/2016,95.02
8/4/2016,95.4
8/5/2016,95.62
8/8/2016,93.96
8/9/2016,92.65
8/10/2016,86.59
8/11/2016,87.54
8/12/2016,85.58
8/15/2016,85.07
8/16/2016,81.56
8/17/2016,81.38
8/18/2016,84.16
8/19/2016,83.28
8/22/2016,84.38
8/23/2016,85.04
8/24/2016,82.53
8/25/2016,81.54
8/26/2016,81.63
8/29/2016,80.65
8/30/2016,81.77
8/31/2016,81.75
9/1/2016,82.28
9/2/2016,82.73
9/6/2016,84.2
9/7/2016,104.03
9/8/2016,104.78
9/9/2016,99.84
9/12/2016,100.77
9/13/2016,98.11
9/14/2016,102.18
9/15/2016,105.09
9/16/2016,105.12
9/19/2016,105.41
9/20/2016,108.29
9/21/2016,107.96
9/22/2016,109.76
9/23/2016,107.56
9/26/2016,126.06
9/27/2016,124.91
9/28/2016,130.14
9/29/2016,129.97
9/30/2016,132.73
10/3/2016,132.68
10/4/2016,133.14
10/5/2016,133.45
10/6/2016,133.1
10/7/2016,131.17
10/10/2016,132.08
10/11/2016,129.81
10/12/2016,127.4
10/13/2016,128.53
10/14/2016,126.39
10/17/2016,126.87
10/18/2016,125.21
10/19/2016,121.8
10/20/2016,124.84
10/21/2016,123.11
10/24/2016,119.83
10/25/2016,118.24
10/26/2016,117.77
10/27/2016,116.23
10/28/2016,116.89
10/31/2016,117.39
11/1/2016,116.3
11/2/2016,113.29
11/3/2016,111.45
11/4/2016,115.11
11/7/2016,119.18
11/8/2016,120.25
11/9/2016,127.49
11/10/2016,129.92
11/11/2016,130.97
11/14/2016,132.86
11/15/2016,134.02
11/16/2016,129.21
11/17/2016,126.42
11/18/2016,118.66
11/21/2016,121.57
11/22/2016,114.88
11/23/2016,116.67
11/25/2016,117.47
11/28/2016,117.06
11/29/2016,116.3
11/30/2016,111.65
12/1/2016,109.28
12/2/2016,112.32
